[2025-12-12--12-10-17 INFO actix_server::builder] starting 5 workers
[2025-12-12--12-10-17 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2025-12-12--12-10-17 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2025-12-12--12-10-18 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2025-12-12--12-10-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49977.
[2025-12-12--12-10-20 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 166 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001566
[2025-12-12--12-10-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50011.
[2025-12-12--12-49-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53696.
[2025-12-12--12-53-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54096.
[2025-12-12--12-57-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54573.
[2025-12-12--13-12-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55968.
[2025-12-12--13-17-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56572.
[2025-12-12--13-23-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57264.
[2025-12-12--13-27-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57662.
[2025-12-12--13-31-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58152.
[2025-12-12--13-32-24 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 7551 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.018438
[2025-12-12--13-32-24 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/txtx.png HTTP/1.1" 200 4197 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001582
[2025-12-12--13-32-24 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/076fe7723e4b0f8b.css HTTP/1.1" 200 27325 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.004742
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-733f3a4781eb481d.js HTTP/1.1" 200 4728 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.000414
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/main-app-f867690012ee20f6.js HTTP/1.1" 200 222 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.000515
